identifier,title,date,type,publication_type,url,preferred_url,dossier_number,dossier_title
kst-27678-28,Wet verbetering poortwachter; Verslag algemeen overleg op 21 november 2001 over de inwerkingtreding van de Wet verbetering poortwachter,2001-12-10,Kamerstuk,{'OVERHEIDop.Parlementair': 'Kamerstuk'},https://repository.overheid.nl/frbr/officielepublicaties/kst/27678/kst-27678-28/1/pdf/kst-27678-28.pdf,,27678,"Verbetering van de procesgang in het eerste ziektejaar en nieuwe regels voor de ziekmelding, de reïntegratie en de wachttijd van werknemers alsmede met betrekking tot de loondoorbetalingsverplichting van de werkgever (Wet verbetering poortwachter)"
kst-20012002-27896-117d,Wijziging van belastingwetten i.v.m. dividendstripping en het verlenen van optierechten aan werknemers; Nadere memorie van antwoord,2002-07-05,Kamerstuk,{'OVERHEIDop.Parlementair': 'Kamerstuk'},https://repository.overheid.nl/frbr/officielepublicaties/kst/20012002-27896/kst-20012002-27896-117d/1/pdf/kst-20012002-27896-117d.pdf,,27896,Wijziging van belastingwetten in verband met dividendstripping en het verlenen van optierechten aan werknemers
kst-28000-XVI-44,"Vaststelling begroting van het Ministerie van Volksgezondheid, Welzijn en Sport (XVI) voor het jaar 2002; Motie over het verhogen van de budgetten van de revalidatie-instellingen",2001-12-06,Kamerstuk,{'OVERHEIDop.Parlementair': 'Kamerstuk'},https://repository.overheid.nl/frbr/officielepublicaties/kst/28000-XVI/kst-28000-XVI-44/1/pdf/kst-28000-XVI-44.pdf,,28000-XVI,"Vaststelling van de begroting van de uitgaven en de ontvangsten van het Ministerie van Volksgezondheid, Welzijn en Sport (XVI) voor het jaar 2002"
kst-27849-11,Comptabiliteitswet 2001; Derde nota van wijziging over een actieve informatieplicht van zbo's en rwt's,2002-04-03,Kamerstuk,{'OVERHEIDop.Parlementair': 'Kamerstuk'},https://repository.overheid.nl/frbr/officielepublicaties/kst/27849/kst-27849-11/1/pdf/kst-27849-11.pdf,,27849,Vaststelling van de Wet inzake het beheer van de financiën van het Rijk (Comptabiliteitswet 2001)
kst-28655-1,"Verantwoording en toezicht bij rechtspersonen met een wettelijke taak, deel 3; Brief bij de aanbieding van het rapport",2002-11-06,Kamerstuk,{'OVERHEIDop.Parlementair': 'Kamerstuk'},https://repository.overheid.nl/frbr/officielepublicaties/kst/28655/kst-28655-1/1/pdf/kst-28655-1.pdf,,28655,"Verantwoording en toezicht bij rechtspersonen met een wettelijke taak, deel 3"
kst-28473-2,Europese Conventie; Voortgangsrapportage over de laatste drie plenaire zittingen,2003-02-12,Kamerstuk,{'OVERHEIDop.Parlementair': 'Kamerstuk'},https://repository.overheid.nl/frbr/officielepublicaties/kst/28473/kst-28473-2/1/pdf/kst-28473-2.pdf,,28473,Europese Conventie
kst-28374-19,Aanslag op de heer W.S.P. Fortuyn; Brief minister n.a.v. een verzoek om een reactie op de uitlatingen van minister Remkes (BZK) over het vonnis van Volkert van der G.,2003-04-18,Kamerstuk,{'OVERHEIDop.Parlementair': 'Kamerstuk'},https://repository.overheid.nl/frbr/officielepublicaties/kst/28374/kst-28374-19/1/pdf/kst-28374-19.pdf,,28374,Aanslag op de heer W. S. P. Fortuijn
kst-20022003-28706-120,Wijziging van de begrotingsstaat van het Ministerie van VROM (XI) voor het jaar 2002 (wijziging i.v.m. Najaarsnota); Gewijzigd voorstel van wet,2002-12-17,Kamerstuk,{'OVERHEIDop.Parlementair': 'Kamerstuk'},https://repository.overheid.nl/frbr/officielepublicaties/kst/20022003-28706/kst-20022003-28706-120/1/pdf/kst-20022003-28706-120.pdf,,28706,"Wijziging van de begrotingsstaat van het Ministerie van Volkshuisvesting, Ruimtelijke Ordening en Milieubeheer (XI) voor het jaar 2002 (wijziging samenhangende met de Najaarsnota)"
kst-28227-11,Wijziging Algemene pensioenwet politieke ambtsdragers m.b.t. de uitkering bij aftreden en het nabestaandenpensioen; Brief minister met antwoorden op vragen van het lid Kant,2002-10-24,Kamerstuk,{'OVERHEIDop.Parlementair': 'Kamerstuk'},https://repository.overheid.nl/frbr/officielepublicaties/kst/28227/kst-28227-11/1/pdf/kst-28227-11.pdf,,28227,Wijziging van de Algemene pensioenwet politieke ambtsdragers met betrekking tot de uitkering bij aftreden en het nabestaandenpensioen
kst-29005-1,Goedkeuring wijziging Alg. Verdrag (en Adm. Akkoord) met Marokko en herziening Verdrag met Tunesie inzake sociale zekerheid; Voorstel van wet,2003-08-16,Kamerstuk,{'OVERHEIDop.Parlementair': 'Kamerstuk'},https://repository.overheid.nl/frbr/officielepublicaties/kst/29005/kst-29005-1/1/pdf/kst-29005-1.pdf,,29005,"Goedkeuring van het op 24 juni 2002 te Rabat tot stand gekomen Verdrag tot wijziging van het op 14 februari 1972 te Rabat ondertekende Algemeen Verdrag inzake sociale zekerheid tussen het Koninkrijk der Nederlanden en het Koninkrijk Marokko, zoals gewijzigd en ondertekend op 30 september 1996, en Administratief Akkoord houdende wijziging van het Administratief Akkoord van 3 november 1972, zoals herzien en ondertekend op 30 september 1996 en 22 juni 2000, met betrekking tot de wijze van toepassing van het op 14 februari 1972 te Rabat ondertekende Algemeen Verdrag inzake sociale zekerheid tussen het Koninkrijk der Nederlanden en het Koninkrijk Marokko (Trb. 2002, 132) en goedkeuring van het op 19 november 2002 te Tunis tot stand gekomen Verdrag tussen het Koninkrijk der Nederlanden en de Republiek Tunesië houdende herziening van het op 22 september 1978 te Tunis ondertekende Verdrag tussen het Koninkrijk der Nederlanden en de Republiek Tunesië inzake sociale zekerheid, zoals herzien en ondertekend op 23 oktober 1992 (Trb. 2002, 229)"
kst-28654-3,Uitvoeringswet EG-insolventieverordening; Memorie van toelichting,2002-11-06,Kamerstuk,{'OVERHEIDop.Parlementair': 'Kamerstuk'},https://repository.overheid.nl/frbr/officielepublicaties/kst/28654/kst-28654-3/1/pdf/kst-28654-3.pdf,,28654,Uitvoering van de verordening (EG) nr. 1346/2000 van de Raad van de Europese Unie van 29 mei 2000 betreffende insolventieprocedures (PbEG L 160) (Uitvoeringswet EG-insolventieverordening)
kst-28472-4,Nieuwe financiële instrumenten in publiek-private samenwerking; Lijst van vragen en antwoorden over het Rekenkamer-rapport 'Nieuwe financiële instrumenten in publiek-private samenwerking',2002-12-09,Kamerstuk,{'OVERHEIDop.Parlementair': 'Kamerstuk'},https://repository.overheid.nl/frbr/officielepublicaties/kst/28472/kst-28472-4/1/pdf/kst-28472-4.pdf,,28472,Nieuwe financiële instrumenten in publiek-private samenwerking
kst-28600-XI-36,Vaststelling begroting van het Ministerie van VROM (XI) voor het jaar 2003; Motie die ertoe strekt om fondsen van het CFV te gebruiken voor realisering van voorstellen van bewonersorganisaties,2002-11-21,Kamerstuk,{'OVERHEIDop.Parlementair': 'Kamerstuk'},https://repository.overheid.nl/frbr/officielepublicaties/kst/28600-XI/kst-28600-XI-36/1/pdf/kst-28600-XI-36.pdf,,28600-XI,"Vaststelling van de begrotingsstaat van het Ministerie van Volkshuisvesting, Ruimtelijke Ordening en Milieubeheer (XI) voor het jaar 2003"
kst-28835-4,"Wijziging Wet milieubeheer, Wet openbaarheid van bestuur en enige andere wetten (Wet uitvoering Verdrag van Aarhus); Verslag",2003-05-20,Kamerstuk,{'OVERHEIDop.Parlementair': 'Kamerstuk'},https://repository.overheid.nl/frbr/officielepublicaties/kst/28835/kst-28835-4/1/pdf/kst-28835-4.pdf,,28835,"Wijziging van de Wet milieubeheer, de Wet openbaarheid van bestuur en enige andere wetten (Wet uitvoering Verdrag van Aarhus)"
kst-20022003-28600-VI-93,Vaststelling begroting van het Ministerie van Justitie (VI) voor het jaar 2003; Gewijzigd voorstel van wet,2002-12-10,Kamerstuk,{'OVERHEIDop.Parlementair': 'Kamerstuk'},https://repository.overheid.nl/frbr/officielepublicaties/kst/20022003-28600/kst-20022003-28600-VI-93/1/pdf/kst-20022003-28600-VI-93.pdf,,28600-VI,Vaststelling van de begrotingsstaat van het Ministerie van Justitie (VI) voor het jaar 2003
kst-28619-116,Verslagen van de commissie voor de Verzoekschriften 2002-2003; Verslag over het adres van G. Osei te Amsterdam betreffende kwijtschelding van een belastingaanslag,2003-06-19,Kamerstuk,{'OVERHEIDop.Parlementair': 'Kamerstuk'},https://repository.overheid.nl/frbr/officielepublicaties/kst/28619/kst-28619-116/1/pdf/kst-28619-116.pdf,,28619,Verslagen van de commissie voor de Verzoekschriften
kst-28807-48,Vogelpestcrisis (Aviaire influenza); Brief minister over de stand van zaken betreffende de bestrijding van de vogelpest,2003-05-14,Kamerstuk,{'OVERHEIDop.Parlementair': 'Kamerstuk'},https://repository.overheid.nl/frbr/officielepublicaties/kst/28807/kst-28807-48/1/pdf/kst-28807-48.pdf,,28807,Vogelpestcrisis (Aviaire influenza)
kst-28600-VIII-45,"Vaststelling begroting van het Ministerie van Onderwijs, Cultuur en Wetenschappen (VIII) voor het jaar 2003; Gewijzigd amendement i.v.m. het reserveren van budget t.b.v. het opleiden van medewerkers voor de tussenschoolse opvang",2002-11-14,Kamerstuk,{'OVERHEIDop.Parlementair': 'Kamerstuk'},https://repository.overheid.nl/frbr/officielepublicaties/kst/28600-VIII/kst-28600-VIII-45/1/pdf/kst-28600-VIII-45.pdf,,28600-VIII,"Vaststelling van de begrotingsstaat van het Ministerie van Onderwijs, Cultuur en Wetenschappen (VIII) voor het jaar 2003"
kst-28168-33,Wet op de jeugdzorg; Amendement m.b.t. evaluatie,2003-06-19,Kamerstuk,{'OVERHEIDop.Parlementair': 'Kamerstuk'},https://repository.overheid.nl/frbr/officielepublicaties/kst/28168/kst-28168-33/1/pdf/kst-28168-33.pdf,,28168,"Regeling van de aanspraak op, de toegang tot en de bekostiging van jeugdzorg (Wet op de jeugdzorg)"
kst-28600-V-66,Vaststelling begroting van het Ministerie van Buitenlandse Zaken (V) voor het jaar 2003; Brief minister en staatssecretaris over de EU-Rusland Top te Sint-Petersburg op 30 en 31 mei 2003,2003-06-20,Kamerstuk,{'OVERHEIDop.Parlementair': 'Kamerstuk'},https://repository.overheid.nl/frbr/officielepublicaties/kst/28600-V/kst-28600-V-66/1/pdf/kst-28600-V-66.pdf,,28600-V,Vaststelling van de begrotingsstaat van het Ministerie van Buitenlandse Zaken (V) voor het jaar 2003
kst-28100-9,"Goedkeuring Protocol nr. 12 bij Verdrag tot bescherming van de rechten van de mens en de fundamentele vrijheden; Motie inzake inzet voor verdere aanpassing EVRM, met name op gebied gelijke behandeling mannen en vrouwen en verbod discriminatie sexuele geaardheid",2003-09-10,Kamerstuk,{'OVERHEIDop.Parlementair': 'Kamerstuk'},https://repository.overheid.nl/frbr/officielepublicaties/kst/28100/kst-28100-9/1/pdf/kst-28100-9.pdf,,28100,"Goedkeuring van het op 4 november 2000 te Rome totstandgekomen Protocol nr. 12 bij het Verdrag tot bescherming van de rechten van de mens en de fundamentele vrijheden (Trb. 2001, 18 en 173)"
kst-28867-A,Wet aanpassing wettelijke gemeenschap van goederen; Oorspronkelijke tekst,2003-05-14,Kamerstuk,{'OVERHEIDop.Parlementair': 'Kamerstuk'},https://repository.overheid.nl/frbr/officielepublicaties/kst/28867/kst-28867-A/1/pdf/kst-28867-A.pdf,,28867,"Wijziging van de titels 6, 7 en 8 van Boek 1 van het Burgerlijk Wetboek (aanpassing wettelijke gemeenschap van goederen)"
kst-28996-1,Wet buitenspeelruimte; Geleidende brief,2003-07-24,Kamerstuk,{'OVERHEIDop.Parlementair': 'Kamerstuk'},https://repository.overheid.nl/frbr/officielepublicaties/kst/28996/kst-28996-1/1/pdf/kst-28996-1.pdf,,28996,Voorstel van wet van het lid Kant houdende regels met betrekking tot de bevordering van de aanleg en het behoud van buitenspeelruimte voor kinderen (Wet buitenspeelruimte)
kst-28600-X-53,Vaststelling begroting van het Ministerie van Defensie (X) voor het jaar 2003; Lijst van vragen en antwoorden naar aanleiding van het jaarverslag van de Militaire Inlichtingen- en Veiligheidsdienst,2003-08-18,Kamerstuk,{'OVERHEIDop.Parlementair': 'Kamerstuk'},https://repository.overheid.nl/frbr/officielepublicaties/kst/28600-X/kst-28600-X-53/1/pdf/kst-28600-X-53.pdf,,28600-X,Vaststelling van de begrotingsstaat van het Ministerie van Defensie (X) voor het jaar 2003
